mode,run_index,latency_ms
miss,0,5.173
hit,0,1.520
miss,1,4.780
hit,1,1.587
miss,2,4.846
hit,2,1.425
miss,3,4.890
hit,3,1.496
miss,4,4.493
hit,4,1.430
miss,5,4.892
hit,5,1.558
miss,6,4.772
hit,6,1.590
miss,7,4.671
hit,7,1.815
miss,8,4.611
hit,8,1.410
miss,9,4.223
hit,9,1.307
miss,10,3.911
hit,10,1.857
miss,11,5.267
hit,11,1.685
miss,12,4.101
hit,12,1.357
miss,13,4.235
hit,13,1.268
miss,14,4.890
hit,14,1.405
miss,15,5.190
hit,15,1.757
miss,16,4.707
hit,16,1.490
miss,17,4.874
hit,17,1.569
miss,18,4.409
hit,18,1.388
miss,19,4.211
hit,19,1.301
miss,20,5.014
hit,20,1.519
miss,21,4.367
hit,21,1.294
miss,22,4.882
hit,22,2.361
miss,23,4.429
hit,23,1.424
miss,24,4.238
hit,24,1.540
miss,25,6.164
hit,25,1.898
miss,26,5.548
hit,26,1.817
miss,27,4.490
hit,27,1.304
miss,28,4.058
hit,28,1.297
miss,29,4.849
hit,29,1.428
cold_miss,0,1347.762
cold_miss,1,1315.059
cold_miss,2,1302.397
cold_miss,3,1434.247
cold_miss,4,1322.135
